"id","permit_no","type","received","received_year","received_month","approved","approved_year","approved_month","approval_msg","name","comments","duration"
129,"2011-50 (A)","CCDP",2012-02-15,2012,2,2012-08-17,2012,8,,"11th & Broadway","Phase One - 34-Story Tower containing 307 units",183
130,"2011-54","CCDP",2011-10-27,2011,10,2011-12-15,2011,12,,"Brant Centuria","4 residential units",48
131,"2011-55","CDP",2011-05-13,2011,5,2013-02-14,2013,2,,"Harbor and Park Vehicular Crossing (Ped Bridge)","Creating a vehicular connection between Harbor Drive and Park Boulevard",643
132,"2011-62","CCDP",2011-12-01,2011,12,2012-03-28,2012,3,,"Urbana","96 Apartment Units",117
133,"2012-03","CCDP",2011-12-21,2011,12,2012-03-28,2012,3,,"15th and Market","6-story project with 241 Residential Apartments, 10,000 sq ft retail",97
134,"2012-04","CCDP",2011-12-01,2011,12,2012-01-18,2012,1,,"Victoria Square","Addition of 5 new spaces at grade",47
135,"2012-07","CCDP",2012-01-04,2012,1,2012-03-28,2012,3,,"Stadium View Condominiums","117 condominium units",83
136,"2012-17","CCDP",2012-03-06,2012,3,2012-05-24,2012,5,,"Park and G","208 residential apartment units, 5.5k retail",78
137,"2012-18","CCDP",2014-06-09,2014,6,,,,"Withdrawn","Eleve Little Italy","WITHDRAWN 08.03.12 - 
12-story, 215 apartment units, 132 hotel rooms and 35K retail)",
138,"2012-19","CCDP",2012-03-06,2012,3,2012-07-26,2012,7,,"Fat City Hotel","6-story development, 2 separate hotels, 364 rooms, 2.5K commercial",141
139,"2012-23","CCDP/CDP",2012-04-16,2012,4,2012-08-07,2012,8,,"Pacific and Broadway","41 stories, 232 condos and 16K commercial",113
140,"2012-34","CCDP/CDP",2012-06-07,2012,6,2013-01-08,2013,1,,"Bella Pacifico","70 residential condominiums,",215
141,"2012-35","CCDP",2012-06-01,2012,6,2012-08-08,2012,8,,"2104 Columbia Street","10 Units",67
142,"2012-36","CCDP",2012-06-01,2012,6,2012-08-06,2012,8,,"Columbia","14 Apartments",66
143,"2012-37","CCDP",2012-06-26,2012,6,2012-10-17,2012,10,,"Lucia Nel Cielo","23-story mixed-use project with 424 apartment units and 3,300 square feet of retail",113
144,"2012-48","CCDP/PDP",2012-05-16,2012,5,2013-04-11,2013,4,,"Blue Sky","936 apartment units",330
145,"2012-63","CCDP",2012-10-08,2012,10,2013-01-30,2013,1,,"450 B Office Building and Plaza Enhancement","6-story office/commercial development and enhanced plaza",113
146,"2012-66","CCDP",2012-10-31,2012,10,2013-02-26,2013,2,,"Church of Scientology","Expansion of previously conforming structure",117
147,"2013-13","CCDP",2013-05-02,2013,5,2013-09-25,2013,9,,"Pacific Heights","22-story 279 residential units, 8400sf of retail, 4-story b/g parking",148
148,"2013-17","CCDP",2013-06-03,2013,6,2013-09-25,2013,9,,"401 W. Ash Street","401 Hotel Rooms",114
149,"2013-24","CCDP",2013-07-01,2013,7,2013-09-16,2013,9,,"SR-1","20 apartment units",77
150,"2013-25","CCDP/CUP",2013-12-19,2013,12,,,,"In Process","Bayview Hotel","74 Unit Senior Housing",
151,"2013-34","CCDP",2013-11-11,2013,11,,,,"In Process","Fairfield Marriott Hotel","154 Room Hotel",
152,"2013-39","CCDP",2013-11-08,2013,11,2014-03-03,2014,3,,"Mitra","10 Lofts with enclosed parking and roof deck - 6 stories",115
153,"2014-06","CCDP",2014-02-28,2014,2,,,,"In Process","Sixth Avenue Suites","95 Room Hotel",
154,"2014-07","CCDP/PDP/NUP",2014-02-17,2014,2,2014-04-30,2014,4,,"Urban Discovery School","36,000 square foot Charter School K-8; six apartment units",73
155,"2014-12","CCDP",2014-03-18,2014,3,,,,"In Process","Prime at 1965 Columbia Street","8 apartment buildings",
